Nombre,Rating,# Reviews,Precio cena,Precio comida,Estacion,Tipo de Rst
Horai En Hakuba Ten,3.02,5,"JPY 6,000 - JPY 7,999",-,Hakuba Sta.,"Yakiniku (Japanese BBQ), Tripe, Izakaya (Japanese style tavern)"
Shoya Maruhachi Dining,3.36,79,"JPY 4,000 - JPY 4,999","JPY 1,000 - JPY 1,999",Shinano Moriue Sta.,"Regional Cuisine, Robatayaki, Soba (Buckwheat noodles)"
Nikushou Nakazawa,3.59,16,"JPY 10,000 - JPY 14,999",-,Hakuba Sta.,"Yakiniku (Japanese BBQ), Meat dishes"
Wagyu Yakiniku Shinshu Sodachi,3.09,21,"JPY 5,000 - JPY 5,999","JPY 1,000 - JPY 1,999",Nagano Sta.,"Yakiniku (Japanese BBQ), Tripe, Izakaya (Japanese style tavern)"
Yakitori Higumo,3.48,49,"JPY 5,000 - JPY 5,999",-,Karuizawa Sta.,"Yakitori (Grilled chicken skewers), Izakaya (Japanese style tavern)"
Shaoyang Lou,3.32,66,"JPY 3,000 - JPY 3,999","JPY 1,000 - JPY 1,999",Matsumoto Sta.,"Jingisukan (Grilled lamb), Yakiniku (Japanese BBQ), Chinese hot pot"
Jukusei Wagyu Yakiniku Aging Beef Karuizawa,3.30,160,"JPY 5,000 - JPY 5,999","JPY 2,000 - JPY 2,999",Karuizawa Sta.,"Yakiniku (Japanese BBQ), Tripe"
Jidori Donabe Gohan Kogure Nagano Honten,3.15,27,"JPY 3,000 - JPY 3,999",-,Nagano Sta.,"Izakaya (Japanese style tavern), Regional Cuisine, Yakitori (Grilled chicken skewers)"
Shusai Yamazaki Ekimae Ten,3.52,99,"JPY 6,000 - JPY 7,999",-,Nagano Sta.,"Izakaya (Japanese style tavern), Regional Cuisine, Seafood"
Shinshu Nagaya Sakaba,3.47,336,"JPY 5,000 - JPY 5,999",-,Nagano Sta.,"Regional Cuisine, Soba (Buckwheat noodles), Izakaya (Japanese style tavern)"
ZUCCA,3.26,48,"JPY 3,000 - JPY 3,999","JPY 1,000 - JPY 1,999",Matsumoto Sta.,"Italian, Pasta"
WAGYU Hot Pot,0.0,-,"JPY 10,000 - JPY 14,999",-,Hakubaoike Sta.,"Shabu shabu (Japanese hotpot), Nabe (Japanese hot pot), Meat dishes"
Ganso Stamina Yakitori Matsumoto Ekimae Ten,3.22,50,"JPY 3,000 - JPY 3,999",-,Matsumoto Sta.,"Izakaya (Japanese style tavern), Yakitori (Grilled chicken skewers), Chicken dishes"
Umai Mon Nagano Ekimae Ten,3.09,28,"JPY 3,000 - JPY 3,999","JPY 2,000 - JPY 2,999",Nagano Sta.,"Izakaya (Japanese style tavern), Regional Cuisine, Soba (Buckwheat noodles)"
Kura no Mukou,3.49,420,"JPY 3,000 - JPY 3,999","JPY 1,000 - JPY 1,999",Matsumoto Sta.,"Izakaya (Japanese style tavern), Soba (Buckwheat noodles), Regional Cuisine"
